epoch,accuracy,loss,val_accuracy,val_loss
0,0.38195404410362244,1.3215501308441162,0.4524495601654053,1.2518117427825928
1,0.6667589545249939,0.9646698832511902,0.6657060384750366,0.8781312704086304
2,0.7915859222412109,0.5714383721351624,0.7233429551124573,0.7551147937774658
3,0.8444505929946899,0.4146029055118561,0.7031700015068054,0.7663218975067139
4,0.8845834732055664,0.32496222853660583,0.6829971075057983,0.8440518975257874
5,0.9103238582611084,0.2693491280078888,0.6887608170509338,0.8472583889961243
6,0.9283144474029541,0.22009052336215973,0.6887608170509338,0.9121575951576233
7,0.9393855333328247,0.18880413472652435,0.6829971075057983,0.9808821082115173
8,0.949903130531311,0.16456425189971924,0.6829971075057983,1.006005048751831
9,0.9593135714530945,0.1416933238506317,0.6772334575653076,1.0763179063796997
10,0.9604207277297974,0.12617243826389313,0.6829971075057983,1.1684283018112183
11,0.9673401713371277,0.11558879166841507,0.680115282535553,1.1873713731765747
12,0.9667866230010986,0.10380798578262329,0.6858789920806885,1.2376539707183838
13,0.9695543646812439,0.10247399657964706,0.6657060384750366,1.2359161376953125
14,0.9748131632804871,0.0883495882153511,0.6570605039596558,1.2659035921096802
15,0.973429262638092,0.0883399248123169,0.680115282535553,1.284144401550293
16,0.9773041605949402,0.07718466222286224,0.6772334575653076,1.349192500114441
17,0.976473867893219,0.07887295633554459,0.6714697480201721,1.3627030849456787
18,0.977027416229248,0.0718495175242424,0.680115282535553,1.3742682933807373
19,0.9786880612373352,0.07266651839017868,0.6714697480201721,1.4289172887802124
20,0.9759202599525452,0.07128424197435379,0.6743515729904175,1.4387081861495972
21,0.9773041605949402,0.07006507366895676,0.6829971075057983,1.449061632156372
22,0.9775809645652771,0.06508895754814148,0.6685879230499268,1.513655185699463
23,0.9784113168716431,0.061225175857543945,0.680115282535553,1.5130759477615356
24,0.9759202599525452,0.06640826165676117,0.6772334575653076,1.485571026802063
